@ HyperIMU - ianovir
@ Date:Thu Jun 05 19:03:08 GMT+05:30 2025, Sampling Rate:150ms

bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
10.761469,-6.225643,-5.609068,-0.6379318,-0.027770996,0.22256851
11.424459,-4.0348396,-5.9896736,0.90776443,-0.3771782,-1.2826729
7.3545837,-4.4585667,-4.2776966,0.35167694,-1.5256691,-2.2455788
7.7423763,-5.2320557,-1.4478588,-0.5932045,-0.04699707,-0.9555626
7.6776943,-8.574259,-3.614706,-0.36956787,-0.07476807,1.0555649
9.092613,-4.3890934,-7.68009,1.8995094,-0.072631836,1.13554
7.309067,-4.3606453,-2.436655,-0.43766022,1.5179253,1.3411522
9.87299,-5.4569454,-6.959305,0.48265457,-0.14392853,0.2576828
10.562632,-7.6836834,-5.3024273,-0.60709,0.24166107,-0.16942978
9.382185,-5.897442,-3.5979366,0.056610107,-1.1985588,-1.774807
6.779932,-5.0332184,-2.3863468,-1.2344742,0.82538605,-1.4392853
7.275528,-7.9636726,-2.0440712,-0.35247803,-0.9897423,0.12670517
6.2555885,-9.452856,0.17308426,5.2690125,-2.3244858,0.56770325
4.6681843,-8.12418,-4.373522,-4.330139,3.3852577,0.6721115
7.8238277,-5.0188446,-1.6778393,1.7227364,0.41749954,0.93206406
11.496328,-6.409807,-5.9585304,-1.0119057,0.15647888,1.0129738
11.721518,-3.426649,-3.8922997,1.1197853,-0.45181274,-0.3345871
9.956837,-5.993267,-4.071972,-0.8839989,-1.3647842,-2.275486
6.932953,-5.672552,-1.323286,-0.63259125,-0.27397156,-2.0176697
7.222824,-7.3054733,-1.9626198,-0.46957016,-0.06729126,0.59654236
10.134113,-5.576727,-3.363165,1.3072395,0.671978,2.3232841
8.175686,-5.2009125,-3.4182644,-0.48452377,0.8861351,2.3712158
9.042305,-3.8243237,-6.4972477,0.82992554,0.025367737,0.81697464
12.320126,-6.168148,-4.797249,-1.4529037,0.30988693,-0.28024673
11.529867,-5.002075,-4.495699,1.2496948,-0.9822655,-2.1199417
9.588209,-6.3717766,-3.226614,-0.84781647,-1.0601044,-3.0999374
4.893074,-5.835455,-1.158287,-0.25981903,-0.50188065,-1.7705345
9.427702,-9.266296,-4.72538,0.8065605,-0.3058815,2.5811005
10.411707,-5.047592,-8.860237,0.7703781,1.1152458,1.450901
6.8014927,-4.8418674,-1.7134743,-1.1865425,1.3964272,1.811924
10.002354,-5.112274,-4.950569,0.24299622,-0.016155243,1.1898804
12.873217,-6.038784,-4.0671806,0.45928955,0.129776,-0.7499504
11.455603,-9.247131,-1.8691902,0.44754028,-1.4925575,-3.8477516
6.3586006,-5.401846,-2.3001041,0.04699707,-0.12590408,-2.3979187
6.341831,-7.1353836,-2.776535,-0.64754486,-0.597744,0.28759003
10.074223,-6.1921043,-3.2146358,0.9141731,0.648613,2.8932571
7.7878933,-4.3342934,-5.6066723,-0.7082939,0.22043228,0.8148384
7.536352,-3.90308,-0.48062325,1.098423,0.03391266,0.84688187
10.095783,-5.2009125,-11.046249,0.5359268,-0.18331528,0.17463684
6.7511845,-10.370083,-0.89237213,-0.3077507,0.0935936,0.22470474
3.4541988,-6.27116,-4.6538105,1.1283302,-0.98760605,-0.069293976
6.482874,-6.069927,-2.3959293,1.4606476,-0.903492,0.25981903
7.363867,-10.247906,-0.7294693,-1.2143135,0.58145523,0.6476784
2.7576694,-7.295891,-6.377466,-0.11175156,1.0534286,-1.2294006
3.8563652,-7.4824505,0.5752506,-0.82645416,-0.7042885,0.24499893
7.6297817,-5.718069,-3.3128567,0.49013138,1.2227249,-0.03845215
9.21479,-10.370083,-3.7557487,-0.7870674,-0.5902672,-0.47197342
6.7967014,-7.5854626,-3.980938,0.6201744,-0.26542664,-1.1994934
3.0280762,-5.6462,-1.0576706,0.13324738,-0.33031464,-0.1779747
6.279545,-9.649298,-3.851574,-0.3578186,-0.75756073,0.11068344
6.7583714,-10.975578,-0.1599083,-0.6624985,0.53352356,1.0022926
1.0145493,-7.087471,-5.4509563,-1.3846779,1.598835,0.28438568
4.663393,-5.6462,-2.783722,0.06942749,0.7220459,0.5698395
7.557913,-9.687628,-5.297636,-0.2437973,0.35995483,0.2640915
9.140526,-8.729975,-0.9115372,0.4496765,0.059547424,0.24499893
5.106285,-6.6086445,-2.9490204,0.33245087,-2.5876427,-1.7033768
4.6993275,-6.8290424,-0.23387337,0.6435394,-0.5934715,-0.8980179
8.704821,-9.7283535,-2.216257,-1.3080406,-0.2622223,-0.6264496
7.490835,-6.098675,-2.958603,0.9482193,1.0619736,0.6934738
5.745619,-4.5496006,-2.2090702,-1.4816093,0.9212494,0.68279266
9.221977,-6.0363884,-3.6290798,0.7916069,0.14472961,0.26729584
10.076618,-8.323017,-4.8499527,-0.32791138,0.66036224,0.6145668
8.312237,-6.9676895,-2.6283054,0.42938232,-0.5636978,-0.6998825
4.1582146,-6.1921043,-2.1470833,0.5785179,1.5658569,0.31095505
6.5116215,-9.764288,3.7045422,-0.7241821,-0.8480835,-0.5412674
6.9018097,-8.002003,0.1443367,-0.08398056,-0.70322037,0.25981903
1.9793892,-7.408186,-4.696932,-1.8906975,2.1346283,0.053272247
5.7863445,-5.7492123,-4.0815544,0.4922676,-0.34633636,0.44740677
9.53311,-6.9676895,-1.7565956,-0.25447845,-0.10881424,1.052494
12.458773,-5.9764977,-2.123127,0.7766533,-0.5849266,0.61136246
5.791136,-5.9597282,-2.0728188,-0.20975113,-0.19399643,-2.0453072
6.3154793,-6.8673725,-2.5061283,-0.018024445,-1.0089684,-1.5553093
7.6824856,-8.909348,-2.501337,-0.2437973,-0.18758774,0.5858612
9.76309,-5.289551,-7.452505,1.8920326,0.22470474,-0.28665543
